2026-08-06 16:45:54 | INFO | fastapi_app | POST /products -> 201 (19.55 ms)
2026-08-06 16:45:54 | INFO | fastapi_app | PUT /products/1 -> 403 (8.47 ms)
2026-08-06 16:51:11 | INFO | fastapi_app | Application Started
2026-08-06 16:51:16 | INFO | fastapi_app | Application Started
2026-08-06 16:51:36 | INFO | fastapi_app | GET / -> 200 (48.90 ms)
2026-08-06 17:15:33 | INFO | fastapi_app | Application Started
2026-08-06 17:15:43 | INFO | fastapi_app | Application Started
2026-08-06 17:15:43 | INFO | fastapi_app | POST /auth/register -> 201 (715.03 ms)
2026-08-06 17:15:44 | INFO | fastapi_app | POST /auth/register -> 201 (695.46 ms)
2026-08-06 17:15:44 | INFO | fastapi_app | POST /auth/register -> 409 (9.51 ms)
2026-08-06 17:15:45 | INFO | fastapi_app | POST /auth/register -> 201 (626.61 ms)
2026-08-06 17:15:45 | INFO | fastapi_app | POST /auth/register -> 409 (9.38 ms)
2026-08-06 17:15:45 | INFO | fastapi_app | POST /auth/register -> 201 (579.87 ms)
2026-08-06 17:15:46 | INFO | fastapi_app | POST /auth/login -> 200 (619.42 ms)
2026-08-06 17:15:47 | INFO | fastapi_app | POST /auth/register -> 201 (618.11 ms)
2026-08-06 17:15:47 | INFO | fastapi_app | POST /auth/login -> 401 (525.31 ms)
2026-08-06 17:15:47 | INFO | fastapi_app | GET /user/profile -> 401 (6.09 ms)
2026-08-06 17:15:48 | INFO | fastapi_app | POST /auth/register -> 201 (608.37 ms)
2026-08-06 17:15:48 | INFO | fastapi_app | POST /auth/login -> 200 (546.54 ms)
2026-08-06 17:15:48 | INFO | fastapi_app | GET /user/profile -> 200 (7.08 ms)
2026-08-06 17:15:49 | INFO | fastapi_app | POST /auth/register -> 201 (546.36 ms)
2026-08-06 17:15:49 | INFO | fastapi_app | POST /auth/login -> 200 (541.67 ms)
2026-08-06 17:15:49 | INFO | fastapi_app | GET /user/dashboard -> 200 (5.71 ms)
2026-08-06 17:15:50 | INFO | fastapi_app | POST /auth/register -> 201 (562.65 ms)
2026-08-06 17:15:51 | INFO | fastapi_app | POST /auth/login -> 200 (642.65 ms)
2026-08-06 17:15:51 | INFO | fastapi_app | PUT /user/update -> 200 (29.98 ms)
2026-08-06 17:15:51 | INFO | fastapi_app | POST /auth/register -> 201 (653.14 ms)
2026-08-06 17:15:52 | INFO | fastapi_app | POST /auth/login -> 200 (584.55 ms)
2026-08-06 17:15:52 | INFO | fastapi_app | GET /admin/users -> 403 (9.03 ms)
2026-08-06 17:15:53 | INFO | fastapi_app | POST /auth/register -> 201 (535.65 ms)
2026-08-06 17:15:53 | INFO | fastapi_app | POST /auth/login -> 200 (499.15 ms)
2026-08-06 17:15:53 | INFO | fastapi_app | POST /products -> 201 (51.14 ms)
2026-08-06 17:15:53 | INFO | fastapi_app | GET /products -> 200 (10.08 ms)
